channel_index,interaction_count,distance_km,attribution_probability_score
0,1,8.57,0.24599105607200153
2,1,19.69,0.7883428548940024
1,1,25.45,0.3756686355922816
1,2,5.18,1.33952213638798
0,2,28.7,0.17427873208095232
0,4,13.97,0.4602146880457182
0,1,7.2,0.2598475668763134
2,3,21.06,1.4926080990744865
1,3,11.43,1.3163981965324423
1,3,14.35,1.171282577033596
0,5,11.77,0.5594791038781036
2,3,8.47,2.4697699085126876
2,6,20.79,2.117890492219732
0,1,12.71,0.208449160680625
0,2,3.51,0.4773528410022552
0,1,19.41,0.15944438496897123
0,1,5.36,0.27969372853415275
1,1,5.77,0.8254324794605704
0,1,24.54,0.12986496474142017
0,1,5.43,0.2789116814710828
1,1,0.1,1.0355701944434514
0,1,19.98,0.15585018259820316
0,5,12.57,0.5418591946417145
0,1,13.26,0.20391335594044208
0,3,12.48,0.42075148328502576
1,1,16.85,0.5299101513967918
0,5,8.98,0.6255343091767357
1,5,26.81,0.9196732720341614
1,3,3.19,1.8303356550354346
0,3,18.56,0.3299174126362595
1,1,20.14,0.46456777932899
0,9,8.92,0.8058040055715711
0,5,6.81,0.6822568359175377
2,5,23.14,1.775156898703762
2,3,7.07,2.6120229346054007
2,1,10.15,1.1546275348224628
0,5,22.1,0.37011219122548256
0,1,15.28,0.18808522373286743
1,2,0.62,1.60755266030436
0,1,28.98,0.10873298281261372
0,5,10.76,0.5825448505946957
0,1,11.78,0.21634950481211693
0,1,17.05,0.17522926072725206
2,2,20.0,1.2340958040842294
0,3,30.69,0.2030886043409598
1,2,1.72,1.5383538801245815
0,1,21.61,0.14601292976779656
1,1,20.94,0.44993695210204304
1,3,13.9,1.1925565548260335
0,9,21.3,0.49109644966674565
2,4,22.47,1.6378357852519732
1,2,3.94,1.4076377372196225
2,5,29.0,1.4042295826713673
2,2,2.53,2.4821833588348685
1,2,5.92,1.3004533516653387
2,2,12.91,1.6387578715825954
0,2,30.4,0.16282173076838682
0,3,12.53,0.41991082126070073
0,2,14.74,0.30461720599294745
0,1,26.46,0.12026470372865819
0,1,12.6,0.20936835773817558
0,1,5.57,0.2773541412378674
2,2,11.66,1.7227787843534745
0,1,25.97,0.12264514403136545
0,1,15.57,0.18591604072274248
1,3,30.45,0.6151429298524933
0,3,20.9,0.3004382849679899
2,3,9.84,2.338068104132275
0,2,15.41,0.29656188826178
2,5,8.17,3.2306676306029063
1,6,9.65,1.9841585474250032
0,4,50.0,0.10890686786550581
0,2,23.15,0.21759943664675493
2,1,21.89,0.721933543956301
1,8,10.01,2.2083819902557593
1,1,27.56,0.34526335253238877
1,1,23.8,0.40129927334097076
0,2,30.05,0.1651172662539192
0,1,29.66,0.10581530596748935
0,8,3.17,0.9677783720791711
2,2,6.12,2.150152047681399
1,2,6.97,1.2469654199560953
0,3,7.45,0.5145240807720398
0,2,17.59,0.2717971255458778
0,1,10.47,0.22798849743618874
0,2,31.58,0.15531509525441037
1,3,30.24,0.6203318935999225
1,2,14.95,0.9062074149882414
2,3,30.64,1.0174759399888533
0,1,26.91,0.1181193055704041
0,1,11.39,0.21975101992260107
1,1,0.1,1.0355701944434514
1,1,13.26,0.6117400678213262
1,4,9.84,1.628647805623428
1,4,16.65,1.2402960528707585
0,1,15.71,0.18487782062418484
1,2,15.5,0.8864885546432466
0,3,19.19,0.32170737478535183
0,1,5.3,0.28036579964537406
0,1,18.29,0.16674991546524087
0,8,11.48,0.6940910213562871
1,2,16.6,0.8483287306204161
0,8,22.66,0.44381291303719067
1,1,5.2,0.8444685262917426
2,3,12.75,2.0811590869621726
0,1,14.05,0.19757043977455818
0,1,10.89,0.22419028499728394
1,2,22.2,0.6780819933052509
