latitude,longitude,distance_km,utm_source,interaction_count
6.392859,3.464667,8.57,meta_awareness_ad,1
6.458322,3.402316,19.69,whatsapp_lead_trigger,1
6.346233,3.461426,25.45,meta_conversion_ad,1
6.639457,3.388984,5.18,meta_conversion_ad,2
6.436513,3.277872,28.7,meta_awareness_ad,2
6.066102,3.21181,13.97,meta_awareness_ad,4
6.893966,3.33975,7.2,meta_awareness_ad,1
6.43881,3.264259,21.06,whatsapp_lead_trigger,3
6.437911,3.361242,11.43,meta_conversion_ad,3
6.775142,3.305418,14.35,meta_conversion_ad,3
6.343162,3.442062,11.77,meta_awareness_ad,5
6.694891,3.386543,8.47,whatsapp_lead_trigger,3
6.436284,3.446324,20.79,whatsapp_lead_trigger,6
6.325831,3.445558,12.71,meta_awareness_ad,1
6.780258,3.352249,3.51,meta_awareness_ad,2
6.662865,3.36145,19.41,meta_awareness_ad,1
6.6624,3.454441,5.36,meta_awareness_ad,1
6.579548,3.746091,5.77,meta_conversion_ad,1
6.614265,3.23083,24.54,meta_awareness_ad,1
6.339576,3.385463,5.43,meta_awareness_ad,1
6.541142,3.199844,0.1,meta_conversion_ad,1
6.385086,3.376063,19.98,meta_awareness_ad,1
6.316059,3.278091,12.57,meta_awareness_ad,5
6.586043,3.361214,13.26,meta_awareness_ad,1
6.698122,3.402497,12.48,meta_awareness_ad,3
6.466895,3.305791,16.85,meta_conversion_ad,1
6.492598,3.111636,8.98,meta_awareness_ad,5
6.353677,3.59303,26.81,meta_conversion_ad,5
6.525483,3.505092,3.19,meta_conversion_ad,3
6.638411,3.359616,18.56,meta_awareness_ad,3
6.643129,3.24499,20.14,meta_conversion_ad,1
6.606176,3.391954,8.92,meta_awareness_ad,9
6.431635,3.433348,6.81,meta_awareness_ad,5
6.426881,3.494702,23.14,whatsapp_lead_trigger,5
6.643711,3.508533,7.07,whatsapp_lead_trigger,3
6.6462,3.536801,10.15,whatsapp_lead_trigger,1
6.498601,3.118071,22.1,meta_awareness_ad,5
6.460474,3.333504,15.28,meta_awareness_ad,1
6.699487,3.528165,0.62,meta_conversion_ad,2
6.470408,3.240655,28.98,meta_awareness_ad,1
6.63629,3.56209,10.76,meta_awareness_ad,5
6.503874,3.650757,11.78,meta_awareness_ad,1
6.36727,3.557888,17.05,meta_awareness_ad,1
6.766247,3.478439,20.0,whatsapp_lead_trigger,2
6.54241,3.312074,30.69,meta_awareness_ad,3
6.417788,3.421445,1.72,meta_conversion_ad,2
6.315779,3.177286,21.61,meta_awareness_ad,1
6.3309,3.262033,20.94,meta_conversion_ad,1
6.468463,3.272579,13.9,meta_conversion_ad,3
6.813169,3.388496,21.3,meta_awareness_ad,9
6.436701,3.320373,22.47,whatsapp_lead_trigger,4
6.741518,3.41844,3.94,meta_conversion_ad,2
6.504785,3.510874,29.0,whatsapp_lead_trigger,5
6.347227,3.272741,2.53,whatsapp_lead_trigger,2
6.453418,3.40149,5.92,meta_conversion_ad,2
6.332252,3.316805,12.91,whatsapp_lead_trigger,2
6.396005,3.407724,30.4,meta_awareness_ad,2
6.391538,3.482126,12.53,meta_awareness_ad,3
6.238829,3.517385,14.74,meta_awareness_ad,2
6.751319,3.479746,26.46,meta_awareness_ad,1
6.556053,3.441298,12.6,meta_awareness_ad,1
6.421458,3.166168,5.57,meta_awareness_ad,1
6.557664,3.21701,11.66,whatsapp_lead_trigger,2
6.399078,3.255573,25.97,meta_awareness_ad,1
6.123741,3.432993,15.57,meta_awareness_ad,1
6.967904,3.185549,30.45,meta_conversion_ad,3
6.55284,3.429828,20.9,meta_awareness_ad,3
6.436048,3.41887,9.84,whatsapp_lead_trigger,3
6.234313,3.088847,15.41,meta_awareness_ad,2
6.300278,3.21606,8.17,whatsapp_lead_trigger,5
6.772574,3.535781,9.65,meta_conversion_ad,6
6.749691,3.483811,50.0,meta_awareness_ad,4
6.637382,3.251641,23.15,meta_awareness_ad,2
6.357138,3.223971,21.89,whatsapp_lead_trigger,1
6.750896,3.011648,10.01,meta_conversion_ad,8
6.591867,3.599895,27.56,meta_conversion_ad,1
6.622639,3.385358,23.8,meta_conversion_ad,1
6.591326,3.661759,30.05,meta_awareness_ad,2
6.298352,3.350449,29.66,meta_awareness_ad,1
6.344676,3.421588,3.17,meta_awareness_ad,8
6.447867,3.512895,6.12,whatsapp_lead_trigger,2
6.620946,3.625026,6.97,meta_conversion_ad,2
6.317335,3.454353,7.45,meta_awareness_ad,3
6.498098,3.379561,17.59,meta_awareness_ad,2
6.497909,3.383394,10.47,meta_awareness_ad,1
6.643311,3.222325,31.58,meta_awareness_ad,2
6.625601,3.321918,30.24,meta_conversion_ad,3
6.372866,3.386883,14.95,meta_conversion_ad,2
6.741403,3.586484,30.64,whatsapp_lead_trigger,3
6.349914,3.314694,26.91,meta_awareness_ad,1
6.688236,3.538598,11.39,meta_awareness_ad,1
6.441878,3.366924,0.1,meta_conversion_ad,1
6.548989,3.565734,13.26,meta_conversion_ad,1
6.558298,3.480708,9.84,meta_conversion_ad,4
6.554056,3.470579,16.65,meta_conversion_ad,4
6.625575,3.526024,15.71,meta_awareness_ad,1
6.583119,3.504174,15.5,meta_conversion_ad,2
6.641947,3.538772,19.19,meta_awareness_ad,3
6.594093,3.698965,5.3,meta_awareness_ad,1
6.334732,3.621734,18.29,meta_awareness_ad,1
6.56487,3.449164,11.48,meta_awareness_ad,8
6.43982,3.312938,16.6,meta_conversion_ad,2
6.358011,3.434163,22.66,meta_awareness_ad,8
6.480924,3.090271,5.2,meta_conversion_ad,1
6.551885,3.503548,12.75,whatsapp_lead_trigger,3
6.561851,3.220195,14.05,meta_awareness_ad,1
